"title,description,option_text,wealth,happiness"
"Birth Scenario,You're born into a loving and caring family of substantial means. Your parents offer you:,A lavish upbringing with the best education and comforts.,1,1"
"Birth Scenario,You're born into a loving and caring family of substantial means. Your parents offer you:,A balanced upbringing with an emphasis on morals and values.,-1,1"
"Birth Scenario,You're born into a loving and caring family of substantial means. Your parents offer you:,Neglectful parenting but freedom to explore and learn independently.,-1,-1"
"Early Education,It's time to choose your educational path:,Attend an elite private school known for creating extremely successful individuals.,1,-1"
"Early Education,It's time to choose your educational path:,Enroll in a public school with diverse peers and experiences.,-1,1"
"Early Education,It's time to choose your educational path:,Pursue homeschooling to tailor your education to your interests.,-1,1"
"Career Decision,You're starting your career journey. Which path do you choose?,Accept a high-paying, but stressful job at a prestigious company.,1,-1"
"Career Decision,You're starting your career journey. Which path do you choose?,Follow your passion into a lower-paying but fulfilling career.,-1,1"
"Career Decision,You're starting your career journey. Which path do you choose?,Pursue entrepreneurship for flexibility but uncertain income.,-1,-1"
"Retirement Planning,Early in your career, you start thinking about retirement adn the power of compound interest. Which do you choose?,Save diligently and max out your 401(k) for a comfortable retirement.,1,1"
"Retirement Planning,Early in your career, you start thinking about retirement adn the power of compound interest. Which do you choose?,Focus on experiences and relationships, accepting a modest retirement lifestyle.,-1,1"
"Retirement Planning,Early in your career, you start thinking about retirement adn the power of compound interest. Which do you choose?,Neglect retirement planning and hope for the best. You like working anyhow.,-1,-1"
"Relationship Crossroads,You meet someone special. How do you approach the relationship?,Settle down with a financially stable partner for security.,1,-1"
"Relationship Crossroads,You meet someone special. How do you approach the relationship?,Follow your heart despite financial differences.,-1,1"
"Relationship Crossroads,You meet someone special. How do you approach the relationship?,Focus on your own career, avoiding commitment.,1,-1"
"Financial Investment,You come into some money from an inheritance. What do you do with it?,Invest in stocks and real estate for long-term financial growth.,1,1"
"Financial Investment,You come into some money from an inheritance. What do you do with it?,Splurge on luxury items and experiences for immediate gratification.,-1,1"
"Financial Investment,You come into some money from an inheritance. What do you do with it?,Donate most of it to charity and invest in your community.,-1,1"
"Health and Wellness,As you're getting older, it's time to prioritize your health:,Invest in a comprehensive health insurance plan and regular check-ups.,-1,1"
"Health and Wellness,As you're getting older, it's time to prioritize your health:,Embrace a healthy lifestyle with regular exercise and nutritious diet.,1,1"
"Health and Wellness,As you're getting older, it's time to prioritize your health:,Continue to neglect health concerns and prioritize other aspects of life.,-1,-1"
"Family Planning,You're considering starting a family:,Have 2 children, providing them with a stable and nurturing environment.,1,1"
"Family Planning,You're considering starting a family:,Have 10 children, which you love, but can't support properly.,-1,-1"
"Family Planning,You're considering starting a family:,Choose not to have children and focus on career advancement.,1,-1"
"Mid-career Crisis,Your career hits a roadblock and are not enjoying your job. How do you respond?,Seek career advancement opportunities or further education.,1,1"
"Mid-career Crisis,Your career hits a roadblock and are not enjoying your job. How do you respond?,Embrace a career change or pursue a passion project with risk.,-1,1"
"Mid-career Crisis,Your career hits a roadblock and are not enjoying your job. How do you respond?,Accept the situation and try to push though without doing much.,-1,-1"
"Financial Setback,Your house burns down, and you did not have homeowners insurance. This is a major financial setback. What are you going to do?,Tighten your budget and seek additional sources of income.,1,-1"
"Financial Setback,Your house burns down, and you did not have homeowners insurance. This is a major financial setback. What are you going to do?,Draw on the retirement funds you have (if any), putting your future in jeopardy.,-1,1"
"Financial Setback,Your house burns down, and you did not have homeowners insurance. This is a major financial setback. What are you going to do?,Take out risky loans to overcome the setback, potentially increasing debt.,-1,-1"
"Family Matters,Your aging parents need constant care. What do you do?,Move them into your home and provide care yourself.,-1,-1"
"Family Matters,Your aging parents need constant care. What do you do?,Hire professional caregivers to assist.,-1,1"
"Family Matters,Your aging parents need constant care. What do you do?,Place them in a high-quality assisted living facility.,1,-1"
"Social Commitments,You're invited to multiple social events on the same evening. How do you respond?,Attend the charity galla and network with influential people.,1,-1"
"Social Commitments,You're invited to multiple social events on the same evening. How do you respond?,Spend quality time with close friends at a low-key gathering.,-1,1"
"Social Commitments,You're invited to multiple social events on the same evening. How do you respond?,Skip both and have a quiet night at home.,-1,-1"
"Relationship Decision,You're torn between staying in a comfortable but stagnant relationship or pursuing something new,Commit to working on your current relationship.,-1,1"
"Relationship Decision,You're torn between staying in a comfortable but stagnant relationship or pursuing something new,End the relationship and explore new possibilities.,-1,1"
"Relationship Decision,You're torn between staying in a comfortable but stagnant relationship or pursuing something new,Stay in the current relationship without addressing issues.,-1,-1"
"Investment Dilemma,You have some extra money to invest,Invest in a high-risk, high-reward venture.,1,-1"
"Investment Dilemma,You have some extra money to invest,Invest in a stable but lower-returning opportunity.,1,1"
"Investment Dilemma,You have some extra money to invest,Spend the money on something enjoyable but non-investment.,-1,1"
"Career Crossroads,You're offered a promotion at work, but it requires relocating to another city,Accept the promotion.,1,-1"
"Career Crossroads,You're offered a promotion at work, but it requires relocating to another city,Decline the promotion, but negotiate a raise.,1,1"
"Career Crossroads,You're offered a promotion at work, but it requires relocating to another city,Decline the promotion and stay in your current position.,-1,-1"
"Health Crisis,You're diagnosed with a chronic illness. How do you respond?,Invest heavily in top-tier medical treatment.,-1,1"
"Health Crisis,You're diagnosed with a chronic illness. How do you respond?,Opt for a more moderate treatment plan.,-1,-1"
"Health Crisis,You're diagnosed with a chronic illness. How do you respond?,Ignore medical advice and hope for the best.,1,-1"
"Retirement Planning,You're nearing retirement age and need to decide how to allocate your savings,Invest conservatively and ensure a stable retirement.,1,1"
"Retirement Planning,You're nearing retirement age and need to decide how to allocate your savings,Take some risk for potentially higher returns.,1,-1"
"Retirement Planning,You're nearing retirement age and need to decide how to allocate your savings,Splurge on luxury items and travel now, worrying about retirement later.,-1,1"
"Elderly care,As you age, you need assistance with daily activities,Move into a high-end retirement community with comprehensive care.,-1,1"
"Elderly care,As you age, you need assistance with daily activities,Hire a live-in caregiver for personalized attention.,-1,1"
"Elderly care,As you age, you need assistance with daily activities,Rely solely on family members for support.,-1,-1"
"Legacy choices,You're making decisions about your will and estate planning. What do you do?,Leave a significant portion of your wealth to charitable causes.,-1,1"
"Legacy choices,You're making decisions about your will and estate planning. What do you do?,Prioritize leaving a financial legacy for your descendants.,1,1"
"Legacy choices,You're making decisions about your will and estate planning. What do you do?,Spend your wealth on fulfilling lifelong dreams and experiences.,-1,1"
"End-of-Life Care,You're facing terminal illness and must decide on your end-of-life care,Pursue aggressive medical treatment to prolong your life.,-1,1"
"End-of-Life Care,You're facing terminal illness and must decide on your end-of-life care,Choose palliative care for comfort and quality of life.,-1,1"
"End-of-Life Care,You're facing terminal illness and must decide on your end-of-life care,Reject medical intervention and focus on quality time with loved ones.,1,1"
